name,address,specialty
元和雅整形外科診所,臺北市中山區松江路125號2樓、2樓之1,"外科,整形外科,"
美無極美學診所,臺北市中山區樂群二路103號、105號,"皮膚科,"
澤林毛髮診所,臺北市中山區長安東路二段78號6樓,"皮膚科,"
越診所,臺北市中山區南京東路2段37號(1樓、2樓)、39號(1樓、2樓)、41巷2號(1樓、2樓)、6號(1樓、2樓)、8號(1樓、2樓)、8之1號(1樓、2樓),"皮膚科,"
池明仁整形外科診所,臺北市中山區民生東路一段13號5樓,"整形外科,"
中山實美整形外科診所,臺北市中山區中山北路二段１０６之２號４樓,"整形外科,"
登彩整形外科診所,臺北市中山區中山北路二段62巷5號1樓,"整形外科,"
曼都整形外科診所,臺北市中山區南京東路2段76號7樓,"整形外科,"
心湛美學診所,臺北市中山區南京東路2段60號12樓,"整形外科,"
李久恆整形外科診所,臺北市中山區南京東路一段2號6樓,"整形外科,"
美麗境界南京復興診所,臺北市中山區南京東路三段201號4樓之1,"皮膚科,"
英爵醫美診所,臺北市中山區敬業三路153號及155號,"皮膚科,"
萊佳形象美學診所,臺北市中山區復興北路48號2樓,"外科,整形外科,"
四季花妍整形診所,臺北市中山區長春路16號5樓,"整形外科,"
力安醫學診所,臺北市中山區樂群二路267號4樓,"整形外科,"
鄭紹隆整形外科診所,臺北市中山區南京東路一段二十四號五樓,"整形外科,"
台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,臺北市中山區中山北路2段92號,"外科,兒科,婦產科,骨科,神經外科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,牙醫一般科,"
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路二段９２號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,中醫一般科,"
東方整形外科診所,臺北市中山區中山北路一段１２２號２樓,"整形外科,"
